ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
20140301129,2014030112,9,away,FALSE,OT,Dave Cameron,2,31,53,12
20140301128,2014030112,8,home,TRUE,OT,Michel Therrien,3,42,41,6
20140301138,2014030113,8,away,TRUE,OT,Michel Therrien,2,49,36,6
20140301139,2014030113,9,home,FALSE,OT,Dave Cameron,1,34,61,14
20140301148,2014030114,8,away,FALSE,REG,Michel Therrien,0,28,29,4
20140301149,2014030114,9,home,TRUE,REG,Dave Cameron,1,32,34,6
20140301159,2014030115,9,away,TRUE,REG,Dave Cameron,5,25,50,18
20140301158,2014030115,8,home,FALSE,REG,Michel Therrien,1,46,39,20
20140301168,2014030116,8,away,TRUE,REG,Michel Therrien,2,20,23,8
20140301169,2014030116,9,home,FALSE,REG,Dave Cameron,0,43,45,2
201303024126,2013030241,26,away,TRUE,OT,Darryl Sutter,3,36,41,8
201303024124,2013030241,24,home,FALSE,OT,Bruce Boudreau,2,35,54,8
201303024226,2013030242,26,away,TRUE,REG,Darryl Sutter,3,17,42,10
201303024224,2013030242,24,home,FALSE,REG,Bruce Boudreau,1,37,53,8
201303024324,2013030243,24,away,TRUE,REG,Bruce Boudreau,3,22,35,6
201303024326,2013030243,26,home,FALSE,REG,Darryl Sutter,2,31,55,8
201303024424,2013030244,24,away,TRUE,REG,Bruce Boudreau,2,14,26,8
201303024426,2013030244,26,home,FALSE,REG,Darryl Sutter,0,28,52,6
201303024526,2013030245,26,away,FALSE,REG,Darryl Sutter,3,42,38,10
201303024524,2013030245,24,home,TRUE,REG,Bruce Boudreau,4,24,31,10
201303024624,2013030246,24,away,FALSE,REG,Bruce Boudreau,1,22,35,8
201303024626,2013030246,26,home,TRUE,REG,Darryl Sutter,2,23,39,10
201303024726,2013030247,26,away,TRUE,REG,Darryl Sutter,6,30,32,8
201303024724,2013030247,24,home,FALSE,REG,Bruce Boudreau,2,27,38,14
201403023130,2014030231,30,away,FALSE,REG,Mike Yeo,3,33,36,2
201403023116,2014030231,16,home,TRUE,REG,Joel Quenneville,4,35,34,6
201403023230,2014030232,30,away,FALSE,REG,Mike Yeo,1,31,42,4
201403023216,2014030232,16,home,TRUE,REG,Joel Quenneville,4,31,39,4
201403023316,2014030233,16,away,TRUE,REG,Joel Quenneville,1,22,11,6
201403023330,2014030233,30,home,FALSE,REG,Mike Yeo,0,30,20,2
201403023416,2014030234,16,away,TRUE,REG,Joel Quenneville,4,25,6,6
201403023430,2014030234,30,home,FALSE,REG,Mike Yeo,3,37,24,4
201303032126,2013030321,26,away,FALSE,REG,Darryl Sutter,1,26,34,4
201303032116,2013030321,16,home,TRUE,REG,Joel Quenneville,3,20,25,4
201303032226,2013030322,26,away,TRUE,REG,Darryl Sutter,6,31,35,10
201303032216,2013030322,16,home,FALSE,REG,Joel Quenneville,2,25,23,10
201303032316,2013030323,16,away,FALSE,REG,Joel Quenneville,3,27,32,6
201303032326,2013030323,26,home,TRUE,REG,Darryl Sutter,4,32,26,8
201303032416,2013030324,16,away,FALSE,REG,Joel Quenneville,2,24,30,8
201303032426,2013030324,26,home,TRUE,REG,Darryl Sutter,5,21,33,8
201303032526,2013030325,26,away,FALSE,OT,Darryl Sutter,4,44,51,8
201303032516,2013030325,16,home,TRUE,OT,Joel Quenneville,5,45,40,6
201303032616,2013030326,16,away,TRUE,REG,Joel Quenneville,4,25,35,4
201303032626,2013030326,26,home,FALSE,REG,Darryl Sutter,3,29,48,4
201303032726,2013030327,26,away,TRUE,OT,Darryl Sutter,5,32,43,10
201303032716,2013030327,16,home,FALSE,OT,Joel Quenneville,4,41,28,4
20150302215,2015030221,5,away,FALSE,OT,Mike Sullivan,3,45,29,10
201503022115,2015030221,15,home,TRUE,OT,Barry Trotz,4,35,43,6
20150302225,2015030222,5,away,TRUE,REG,Mike Sullivan,2,35,21,6
201503022215,2015030222,15,home,FALSE,REG,Barry Trotz,1,24,31,12
201503022315,2015030223,15,away,FALSE,REG,Barry Trotz,2,49,58,6
20150302235,2015030223,5,home,TRUE,REG,Mike Sullivan,3,23,25,8
201503022415,2015030224,15,away,FALSE,OT,Barry Trotz,2,36,41,10
20150302245,2015030224,5,home,TRUE,OT,Mike Sullivan,3,33,47,8
20150302255,2015030225,5,away,FALSE,REG,Mike Sullivan,1,31,28,12
201503022515,2015030225,15,home,TRUE,REG,Barry Trotz,3,19,26,6
201503022615,2015030226,15,away,FALSE,OT,Barry Trotz,3,39,35,6
