cancel date,cancel date month,code,service code,service desc,staff,booking date,booking date month,canceled by,days in adv,avg price
5/8/2018,May,KIRR01,SHCM,Men's hair cut,BECKY,5/8/2018,May,SINEAD,0,41.15
5/8/2018,May,DONB01,SBD,Blowdry,SINEAD,5/12/2018,May,SINEAD,4,45.11
5/8/2018,May,SKUD01,SBD,Blowdry,BECKY,5/12/2018,May,SINEAD,4,45.26
5/8/2018,May,DONB01,CHLPL,Highlights partial,JOANNE,5/12/2018,May,SINEAD,4,147.73
5/9/2018,May,RODP01,CHLFH,Highlights full,JOANNE,5/10/2018,May,JJ,1,150
5/10/2018,May,BHAB01,SDUD,Dry updo,BECKY,5/17/2018,May,JJ,7,60
5/10/2018,May,NGUS01,CTU,Color touch up,JOANNE,5/11/2018,May,SINEAD,1,66.52
5/10/2018,May,NGUS01,SHCW,Women's hair cut,JJ,5/11/2018,May,SINEAD,1,88.44
5/11/2018,May,KIRR01,SHCM,Men's hair cut,BECKY,5/11/2018,May,JJ,0,41.15
5/11/2018,May,LEEO01,SBD,Blowdry,BECKY,5/11/2018,May,JOANNE,0,45.26
5/12/2018,May,NELT01,SBD,Blowdry,SINEAD,5/17/2018,May,JJ,5,45.11
5/15/2018,May,SHAL01,SHCW,Women's hair cut,JJ,5/22/2018,May,JJ,7,88.44
5/16/2018,May,NELT01,SBD,Blowdry,SINEAD,5/23/2018,May,SINEAD,7,45.11
5/17/2018,May,HOLL01,SBD,Blowdry,SINEAD,5/31/2018,May,BECKY,14,45.11
5/17/2018,May,HILD01,SBD,Blowdry,KELLY,5/31/2018,May,ADMIN,14,45.64
5/17/2018,May,DONB01,SHCW,Women's hair cut,JJ,5/17/2018,May,BECKY,0,88.44
5/17/2018,May,HILD01,CHLPHC,Partial highlights and color,JOANNE,5/31/2018,May,ADMIN,14,158.18
5/17/2018,May,HILJ01,CHLPHC,Partial highlights and color,JOANNE,5/19/2018,May,BECKY,2,158.18
5/17/2018,May,HOLL01,CHLPHC,Partial highlights and color,JOANNE,5/31/2018,May,BECKY,14,158.18
5/17/2018,May,DONB01,CCO,Color correction,JOANNE,5/17/2018,May,BECKY,0,205
5/18/2018,May,SKUD01,SBD,Blowdry,BECKY,5/26/2018,May,JJ,8,45.26
5/18/2018,May,KUKK01,SBD,Blowdry,BECKY,7/3/2018,July,JOANNE,46,45.26
5/18/2018,May,KUKK01,SBD,Blowdry,BECKY,7/10/2018,July,JOANNE,53,45.26
5/18/2018,May,SIRM01,SBD,Blowdry,BECKY,6/29/2018,June,JOANNE,42,45.26
5/18/2018,May,MIRY01,CDPB,double process blonde,JOANNE,5/19/2018,May,JOANNE,1,150
5/18/2018,May,DONB01,CBAL,Balayage,KELLY,5/18/2018,May,BECKY,0,155.56
5/18/2018,May,DONB01,CHLPHC,Partial highlights and color,JOANNE,6/5/2018,June,JOANNE,18,158.18
5/21/2018,May,HIMB01,SHCW,Women's hair cut,JJ,5/22/2018,May,JJ,1,88.44
5/22/2018,May,HUDM01,SBD,Blowdry,BECKY,5/26/2018,May,JJ,4,45.26
5/22/2018,May,HENB01,SHCM,Men's hair cut,JJ,6/5/2018,June,JJ,14,49.48
5/22/2018,May,PENM01,SHCW,Women's hair cut,KELLY,5/23/2018,May,SINEAD,1,56.05
5/22/2018,May,MENE01,SHCW,Women's hair cut,SINEAD,5/23/2018,May,ADMIN,1,74.67
