animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
QU_car012,f,NA,NA,NA,NA,Quintette,-121.3860704,55.12647647,"At least 15 animals, saw at least one calf in group. Estimated backfat from surgery. Cow is quite skinny with a big pot belly.",NA,NA,removal,NA,10/25/2019
HR_car030,f,NA,TRUE,NA,NA,Hart Ranges,-122.1327371,54.85115599,Estimated backfat from surgery.,NA,NA,removal,NA,10/25/2019
QU_car031,f,NA,TRUE,FALSE,NA,Quintette,-121.259696,54.98549849,Estimated backfat from surgery.  10.0mm minimum estimate as Doug didn't want to insert scalpel too deep.,NA,NA,removal,NA,10/25/2019
HR_car033,f,NA,TRUE,TRUE,NA,Hart Ranges,-122.1057086,54.70054251,Cow quite skinny. Tons of tracks and alectoria abundant.,NA,NA,other,Not Monitored,10/25/2019
BP_car032,f,NA,FALSE,TRUE,NA,Burnt Pine,-122.1111803,55.33570437,"About 20 caribou on ridgeline, 1 bull in group.",NA,NA,removal,NA,10/24/2019
HR_car016,f,NA,TRUE,NA,NA,Hart Ranges,-122.2699003,54.77496809,Recovered non-working green GPS collar. Cow very skinny.,-122.3373969,54.82947471,dead,NA,10/24/2019
HR_car034,f,NA,NA,TRUE,Unknown.  Suspected predation,Hart Ranges,-121.7687606,54.66469339,"2 cows, 2 yearlings.",-121.9093894,54.66060358,dead,NA,10/24/2019
QU_car035,f,NA,TRUE,FALSE,Unknown,Quintette,-121.418614,54.91831093,Doug spun blood.,-121.3467766,54.97576635,dead,NA,10/24/2019
KE_car039,f,NA,TRUE,FALSE,NA,Kennedy,-122.6126612,55.24859698,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,10/24/2019
QU_car038,f,NA,TRUE,FALSE,Unknown.  Suspected predation,Quintette,-121.5044565,54.91675535,NA,-121.3596321,55.13667472,dead,NA,10/23/2019
QU_car037,f,NA,TRUE,FALSE,Unknown.  Found 50m from TREND open pit mine.  Area littered with rock from blasts from the mine.,Quintette,-120.9613893,54.87151888,NA,-120.9459692,54.88449017,dead,NA,10/23/2019
QU_car036,f,NA,TRUE,TRUE,Unknown.  Collar inaccessible and still in field.,Quintette,-120.9613893,54.87151888,NA,-121.0757684,54.8121116,dead,NA,10/23/2019
QU_car041,f,NA,NA,NA,NA,Quintette,-121.3833312,55.13332455,NA,NA,NA,removal,NA,10/23/2019
BP_car043,f,NA,NA,NA,NA,Burnt Pine,-122.2005993,55.37099082,NA,NA,NA,removal,NA,10/23/2019
QU_car040,f,NA,NA,NA,NA,Quintette,-121.3833312,55.13332455,NA,NA,NA,removal,NA,10/23/2019
KE_car044,f,NA,NA,NA,NA,Kennedy,-122.6136143,55.28654828,NA,NA,NA,removal,NA,10/22/2019
QU_car042,f,NA,NA,NA,NA,Quintette,-121.3833312,55.13332455,NA,NA,NA,removal,NA,10/22/2019
QU_car046,f,NA,NA,NA,NA,Quintette,-121.0139327,54.87210202,NA,NA,NA,removal,NA,10/21/2019
QU_car045,f,NA,NA,NA,NA,Quintette,-121.0139327,54.87210202,NA,NA,NA,removal,NA,10/21/2019
KE_car047,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,NA,NA,NA,-122.7988091,55.13353496,dead,NA,10/21/2019
KE_car048,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA,10/21/2019
KE_car050,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA,10/20/2019
KE_car049,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA,10/20/2019
KE_car051,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA,10/20/2019
MO_car052,f,NA,NA,NA,Unknown,Moberly,-122.4701474,55.88574219,NA,-122.6329781,55.81758294,dead,NA,10/20/2019
KE_car053,f,NA,NA,NA,NA,Kennedy,-122.3824952,55.47559924,NA,NA,NA,removal,NA,10/20/2019
NA_car056,f,NA,NA,NA,Unknown,Narraway,-120.4629697,55.10098519,NA,-119.8034758,55.07521916,dead,NA,10/20/2019
NA_car055,m,NA,NA,NA,Predation - Wolf,Narraway,-120.59541,55.03074459,NA,-120.6386488,55.06577302,dead,NA,10/19/2019
NA_car054,f,NA,NA,NA,Unknown,Narraway,-120.6073092,55.02907353,NA,-120.704339,54.61526976,dead,NA,10/19/2019
QU_car060,f,NA,NA,NA,NA,Quintette,-121.0255249,54.84444491,NA,NA,NA,other,Lost,10/19/2019
QU_car057,f,NA,NA,NA,NA,Quintette,-120.8688407,54.86347588,NA,NA,NA,removal,NA,10/18/2019
QU_car059,f,NA,NA,NA,NA,Quintette,-121.0272655,54.85090893,NA,NA,NA,removal,NA,10/18/2019
QU_car058,f,NA,NA,NA,NA,Quintette,-120.8775911,54.86184041,NA,NA,NA,removal,NA,10/18/2019
KE_car061,f,NA,NA,NA,Unknown.  Suspected wolf (or possibly wolverine) predation,Kennedy,-122.6145703,55.25288041,NA,-122.4380599,55.19950918,dead,NA,10/18/2019
KE_car065,f,NA,NA,NA,NA,Kennedy,-122.6145703,55.25288041,NA,NA,NA,removal,NA,10/18/2019
KE_car062,f,NA,NA,NA,NA,Kennedy,-122.6145703,55.25288041,NA,NA,NA,removal,NA,10/18/2019
KE_car064,f,NA,NA,NA,NA,Kennedy,-122.6145703,55.25288041,NA,NA,NA,removal,NA,10/17/2019
KE_car063,f,NA,NA,NA,NA,Kennedy,-122.6145703,55.25288041,NA,NA,NA,removal,NA,10/17/2019
QU_car069,f,NA,NA,NA,NA,Quintette,-121.3869846,55.13725555,NA,NA,NA,removal,NA,10/17/2019
MO_car066,f,NA,NA,NA,Predation - Wolf,Moberly,-122.5969426,55.7496281,NA,-122.5603005,55.54004001,dead,NA,10/17/2019
MO_car067,f,NA,NA,NA,NA,Moberly,-122.5995964,55.75340165,NA,NA,NA,removal,NA,10/17/2019
QU_car070,f,NA,NA,NA,NA,Quintette,-121.340369,55.11393606,NA,NA,NA,removal,NA,10/17/2019
QU_car068,f,NA,NA,NA,NA,Quintette,-121.9435809,28.13432133,NA,NA,NA,removal,NA,10/17/2019
QU_car074,f,NA,NA,NA,NA,Quintette,-121.4229523,55.11432311,NA,NA,NA,removal,NA,10/17/2019
QU_car073,f,NA,NA,NA,NA,Quintette,-121.300636,54.90022551,NA,NA,NA,other,Lost,10/17/2019
QU_car072,f,NA,NA,NA,Unknown.  Suspected wolf predation,Quintette,-121.3425189,54.9015771,NA,-121.8345539,54.69695327,dead,NA,10/17/2019
QU_car075,f,NA,NA,NA,NA,Quintette,-121.337448,55.11442649,NA,NA,NA,removal,NA,10/16/2019
QU_car071,f,NA,NA,NA,NA,Quintette,-121.4283258,55.07449728,NA,NA,NA,removal,NA,10/16/2019
NA_car077,f,NA,NA,NA,NA,Narraway,-120.5800836,55.07624912,NA,NA,NA,removal,NA,10/16/2019
NA_car078,f,NA,NA,NA,Predation - Wolf,Narraway,-120.5959428,55.05450426,NA,-120.3153435,55.07700374,dead,NA,10/15/2019
MO_car080,f,NA,NA,NA,Predation - Unknown predator,Moberly,-122.5795948,55.79987005,NA,-122.4266288,55.78256339,dead,NA,10/15/2019
MO_car079,f,NA,NA,NA,Predation - Unknown predator,Moberly,-122.7949939,55.86289192,NA,-123.1973489,55.70720032,dead,NA,10/15/2019
KE_car098,f,NA,NA,NA,NA,Kennedy,-122.5904404,55.23270883,NA,NA,NA,removal,NA,10/15/2019
