filename,path,extension,size,mime_type,modified_date
PetTherapy.csv,DS105-Intermediate-Statistics/Data/PetTherapy.csv,csv,191,text/csv,2021-06-28 01:59:00
BankChurners.csv,DS105-Intermediate-Statistics/Data/BankChurners.csv,csv,1510880,text/csv,2020-11-19 07:38:46
Tornadoes.csv,DS105-Intermediate-Statistics/Data/Tornadoes.csv,csv,81173,text/csv,2021-09-20 18:07:11
AWS2.csv,DS107-Big-Data/New-Course-Update/Data/AWS2.csv,csv,21818,text/csv,2020-09-22 18:58:24
AWS.csv,DS107-Big-Data/New-Course-Update/Data/AWS.csv,csv,15884,text/csv,2020-09-21 16:40:51
datasets_20465_26638_honeyproduction.csv,DS109-Python/Workshops/Week-3/08-Pandas-and-Jupyter-Notebook/datasets_20465_26638_honeyproduction.csv,csv,28580,text/csv,2021-10-08 18:49:05
Advertising.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Advertising.csv,csv,4756,text/csv,2022-08-17 14:24:57
Income2.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Income2.csv,csv,1644,text/csv,2022-08-17 14:24:57
Caravan.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Caravan.csv,csv,1064467,text/csv,2022-08-17 14:24:57
Income1.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Income1.csv,csv,1177,text/csv,2022-08-17 14:24:57
Default.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Default.csv,csv,502571,text/csv,2022-08-17 14:24:57
Portfolio.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Portfolio.csv,csv,4133,text/csv,2022-08-17 14:24:57
khan_test.csv,DS109-Python/Books/ISLRv2-Code-Data/data/khan_test.csv,csv,413102,text/csv,2022-08-17 14:24:57
College.csv,DS109-Python/Books/ISLRv2-Code-Data/data/College.csv,csv,75702,text/csv,2022-08-17 14:24:57
Ch10Ex11.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Ch10Ex11.csv,csv,404088,text/csv,2022-08-17 14:24:57
Heart.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Heart.csv,csv,19925,text/csv,2022-08-17 14:24:57
Credit.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Credit.csv,csv,22368,text/csv,2022-08-17 14:24:57
USArrests.csv,DS109-Python/Books/ISLRv2-Code-Data/data/USArrests.csv,csv,1387,text/csv,2022-08-17 14:24:57
Smarket.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Smarket.csv,csv,78110,text/csv,2022-08-17 14:24:57
Carseats.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Carseats.csv,csv,19044,text/csv,2022-08-17 14:24:57
Hitters.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Hitters.csv,csv,27687,text/csv,2022-08-17 14:24:57
Weekly.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Weekly.csv,csv,62683,text/csv,2022-08-17 14:24:57
Auto.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Auto.csv,csv,18079,text/csv,2022-08-17 14:24:57
Wage.csv,DS109-Python/Books/ISLRv2-Code-Data/data/Wage.csv,csv,491102,text/csv,2022-08-17 14:24:57
khan_train.csv,DS109-Python/Books/ISLRv2-Code-Data/data/khan_train.csv,csv,1033108,text/csv,2022-08-17 14:24:57
OJ.csv,DS109-Python/Books/ISLRv2-Code-Data/data/OJ.csv,csv,83477,text/csv,2022-08-17 14:24:57
speedtest_results.csv,DS109-Python/Examples/Networking/speedtest_results.csv,csv,53,text/csv,2023-03-28 19:17:19
reviews.csv,DS109-Python/Examples/Python-Basics/data/reviews.csv,csv,235020,text/csv,2023-01-27 16:10:45
winequality-red.csv,DS109-Python/Examples/Python-Basics/data/winequality-red.csv,csv,84199,text/csv,2020-06-19 18:52:00
winequality-white.csv,DS109-Python/Examples/Python-Basics/data/winequality-white.csv,csv,264426,text/csv,2020-06-19 18:52:01
bikes.csv,DS109-Python/Data/bikes.csv,csv,56806,text/csv,2018-11-01 16:21:12
recommender-sample-data.csv,DS109-Python/Data/recommender-sample-data.csv,csv,566516,text/csv,2021-12-18 08:13:12
roster.csv,DS109-Python/Data/roster.csv,csv,513,text/csv,2021-08-17 18:34:53
BisonTracking.csv,DS109-Python/Data/BisonTracking.csv,csv,40196,text/csv,2019-01-22 13:02:06
FakeNews.csv,DS109-Python/Data/FakeNews.csv,csv,343562,text/csv,2022-04-21 07:49:00
diabetes.csv,DS109-Python/Data/diabetes.csv,csv,23873,text/csv,2019-09-21 19:36:20
manatees.csv,DS106-Machine-Learning/Modeling/Data/manatees.csv,csv,310,text/csv,2022-06-22 16:15:27
bluegill_fish.csv,DS106-Machine-Learning/Modeling/Data/bluegill_fish.csv,csv,681,text/csv,2022-06-22 16:15:27
anime.csv,DS106-Machine-Learning/Modeling/Data/anime.csv,csv,6275613,text/csv,2022-06-22 16:15:27
Simple-linear-regression.csv,DS106-Machine-Learning/Modeling/Data/Simple-linear-regression.csv,csv,919,text/csv,2022-06-22 19:28:54
baseball.csv,DS106-Machine-Learning/Modeling/Data/baseball.csv,csv,157234,text/csv,2022-06-22 16:15:27
Car-Sales-Data.csv,DS106-Machine-Learning/Modeling/Data/Car-Sales-Data.csv,csv,220756,text/csv,2022-06-22 19:28:54
heights.csv,DS106-Machine-Learning/Modeling/Data/heights.csv,csv,635,text/csv,2022-06-22 16:15:27
Admittance.csv,DS106-Machine-Learning/Modeling/Data/Admittance.csv,csv,1451,text/csv,2022-06-23 08:04:12
minerals.csv,DS106-Machine-Learning/Modeling/Data/minerals.csv,csv,506,text/csv,2022-06-22 16:15:27
nonlinear.csv,DS106-Machine-Learning/Modeling/Data/nonlinear.csv,csv,910,text/csv,2022-06-22 16:15:27
telcomChurn.csv,DS106-Machine-Learning/ML/Workshops/Week-3/05-Improving-Model-Accuracy/telcomChurn.csv,csv,977501,text/csv,2021-06-28 02:00:00
clientSegmentation.csv,DS106-Machine-Learning/ML/Workshops/Week-2/04.5-KNN/clientSegmentation.csv,csv,3981,text/csv,2021-06-28 01:59:00
telcomChurn.csv,DS106-Machine-Learning/ML/Workshops/Week-2/04.6-Decision-Trees-and-Random-Forests/telcomChurn.csv,csv,977501,text/csv,2021-06-28 02:00:00
clientSegmentation.csv,DS106-Machine-Learning/ML/Workshops/Week-2/04-K-Means-and-K-Nearest-Neighbors/clientSegmentation.csv,csv,3981,text/csv,2021-06-28 01:59:00
Musical-instruments-reviews.csv,DS106-Machine-Learning/ML/Workshops/Week-1/02-Logistic-Regression-in-R/Musical-instruments-reviews.csv,csv,6092223,text/csv,2021-06-28 01:59:00
WorldHappiness.csv,DS106-Machine-Learning/ML/Workshops/Week-1/01.5-Regression-in-R/WorldHappiness.csv,csv,16557,text/csv,2021-06-28 01:59:00
Kinross.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/Kinross.csv,csv,27284,text/csv,2022-12-13 13:15:49
SSM 7-1SSW.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SSM 7-1SSW.csv,csv,8969,text/csv,2022-12-13 13:15:49
Sault-Weather.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/Sault-Weather.csv,csv,719688,text/csv,2022-12-13 13:15:49
SSM7-8SE.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SSM7-8SE.csv,csv,9501,text/csv,2022-12-13 13:15:49
SSM.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SSM.csv,csv,224175,text/csv,2022-12-13 13:15:49
UPNorthChristmas.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/UPNorthChristmas.csv,csv,6695,text/csv,2022-12-13 13:15:49
Kincheloe AFB.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/Kincheloe AFB.csv,csv,220590,text/csv,2022-12-13 13:15:49
Rudyard.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/Rudyard.csv,csv,97734,text/csv,2022-12-13 13:15:49
SooCleaned.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SooCleaned.csv,csv,1614223,text/csv,2022-12-13 13:15:49
Dunbar.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/Dunbar.csv,csv,428948,text/csv,2022-12-13 13:15:49
SSM2-1E.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SSM2-1E.csv,csv,36187,text/csv,2022-12-13 13:15:49
SooChristmas.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/Marcy-examples/DATA/SooChristmas.csv,csv,3099,text/csv,2022-12-13 13:15:49
data.csv,DS106-Machine-Learning/ML/Examples/Team-Examples/BreastCancerML/data.csv,csv,125204,text/csv,2022-07-28 14:43:28
onlineRetail.csv,DS106-Machine-Learning/ML/Data/onlineRetail.csv,csv,45805376,text/csv,2021-06-28 01:59:00
clientSegmentation.csv,DS106-Machine-Learning/ML/Data/clientSegmentation.csv,csv,3981,text/csv,2021-06-28 01:59:00
Country-clusters.csv,DS106-Machine-Learning/ML/Data/Country-clusters.csv,csv,193,text/csv,2022-06-29 13:58:50
WorldHappiness.csv,DS106-Machine-Learning/ML/Data/WorldHappiness.csv,csv,16557,text/csv,2021-06-28 01:59:00
Musical-instruments-reviews.csv,DS106-Machine-Learning/ML/Data/Musical-instruments-reviews.csv,csv,6092223,text/csv,2021-06-28 01:59:00
