notebook,vimeo_count,youtube_count
DS109-Python/DS109-L2-Operations-in-Python.ipynb,1,0
DS109-Python/DS109-L3-Lists-and-Looping.ipynb,1,0
DS109-Python/DS109-L5-Functions.ipynb,1,0
DS109-Python/Workshops/Week-3/08-Pandas-and-Jupyter-Notebook/DS109_L8_workshop.ipynb,0,0
DS109-Python/Workshops/Week-3/13-Virtual-Environments/Virtual-Environments.ipynb,0,0
DS109-Python/Workshops/Week-3/11-Python-NLP-Tools-Examples/Python-NLP-Tools-Examples.ipynb,0,0
DS109-Python/Workshops/Week-3/08.5-numpy/numpy-Workshop.ipynb,0,0
DS109-Python/Workshops/Week-3/08.5-numpy/numpy.ipynb,0,0
DS109-Python/Workshops/Week-3/09-Final-Project/DSO109-L10-Example.ipynb,0,0
DS109-Python/Workshops/Week-2/04-Dictionaries/Dictionaries.ipynb,0,0
DS109-Python/Workshops/Week-2/06-Coding-with-Class/Classes.ipynb,1,0
DS109-Python/Workshops/Week-2/05-Functions/Python-Functions.ipynb,0,0
DS109-Python/Workshops/Week-2/05-Functions/Functions.ipynb,0,0
DS109-Python/Workshops/Week-1/01-Variables-and-Data-Types/Python-Variable-Types.ipynb,1,0
DS109-Python/Workshops/Week-1/12-Importing-in-Python/Imports-in-Python.ipynb,1,0
DS109-Python/Workshops/Week-1/03-Lists/Lists.ipynb,0,0
DS109-Python/Workshops/Week-1/02-If-Else/if-else.ipynb,0,0
DS109-Python/Workshops/Week-1/10-Addressing-Common-Errors-in-Python/Common-Errors-in-Python.ipynb,0,0
DS109-Python/Errata/DS109-Change-Log.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Lab_8.3.2_Fitting_regression_trees.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Lab_8.3.3_Bagging_and_Random_Forests.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Lab-8.3.4_Boosting.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Examples using sklearn.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Lab_8.3.1_fitting_classification_trees.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_8/Applied_Questions_chapter_8.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/Figure_6.6_Lasso.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/figure_6.2_Forward_selection.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/Appied_questions.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/6.7_LAB_3.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/6.6 LAB_2.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/6.5_LAB_1.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_6/6.2.1_ Ridge_regression.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_7/Applied Questions.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_7/LAB - chapter - 7_ Moving_beyond_linearity.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_7/LAB_chapter_7_continued_with_GAM.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/9.3.3 An Application to Heart Disease Data.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/Lab_9.6.2_and_9.6.3.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/Appied_Questions_Ch-9.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/Lab_9.6.4 and 9.6.5.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/Lab_9.6.1_Support_Vector_Classifiers.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_9/Q-8-Applied_exerciese.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_2/Applied Questions.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_5/Applied Questions.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_5/5.4 - figure.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_5/Chapter_5_LAB.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_5/5.2-figure.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_4/Exercises - Applied.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_4/Chapter_4_LAB.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_3/3.4 The Marketing Plan.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_3/Chapter_3_lab.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_3/Exerciese - Applied Questions.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_3/3.3.2_Non linear fits.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_10/Lab-1-PCA.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_10/Lab 2 - Clustering.ipynb,0,0
DS109-Python/Books/ISLRv2-Code-Data/Chapter_10/Figure_10.1.ipynb,0,0
DS109-Python/Examples/DS109-L5-Lambda-Examples-to-complement.ipynb,0,0
DS109-Python/Examples/Skimpy.ipynb,0,0
DS109-Python/Examples/Python-Automation-Tools.ipynb,0,0
DS109-Python/Examples/DS109-L10-Final-hands-on-helper.ipynb,0,0
DS109-Python/Examples/DS109-L9-hands-on-helper.ipynb,0,0
